"","TESTUA","AD.NG","AD.TRINKOA","AD.LAGUNTZAILEA","ZA.LUZ0","ZA.LUZ1","EZEZKOESALDIA"
"160","gaixotasunak",0,0,0,0,0,0
"161","barkatu",1,0,0,0,0,0
"162","hori",0,0,0,0,0,0
"163","sor",1,0,0,0,0,0
"164","sor",1,0,0,0,0,0
"165","deza+",0,0,1,0,0,0
"166","+kete",0,0,0,0,0,0
"167",NA,0,0,0,0,0,0
"168","ditzakete",0,0,1,0,0,0
"169","gaixotasunak",0,0,0,1,0,0
"170","ta bueno horrela",0,0,0,0,0,0
"171","nire",0,0,0,0,0,0
"172","nire gaia",0,0,0,0,0,0
"173","da",0,1,0,0,0,0
"174","alkohola beti kaltegarria",0,0,0,0,0,0
"175","dakigunez",0,0,0,0,0,0
"176","alkohola",0,0,0,0,0,0
"177","oso zabalduta",0,0,0,0,0,0
"178","gizartean",0,0,0,0,0,0
"179","eta",0,0,0,1,0,0
"180","edozein lekutan",0,0,0,0,1,0
"181","eros",1,0,0,0,0,0
"182","dezakegu",0,0,1,0,0,0
"183","taberna batean",0,0,0,0,0,0
"184","edo",0,0,0,1,0,0
"185","pertson guztiei",0,0,0,1,0,0
"186","?",0,0,0,0,1,0
"187","saltzen",1,0,0,0,0,0
"188",NA,0,0,0,0,0,0
"189","diete",0,0,1,0,0,0
"190","eta",0,0,0,1,0,0
"191",NA,0,0,0,0,1,0
"192","digute",0,0,1,0,0,0
"193","eta",0,0,0,1,0,0
"194","baita",0,0,0,0,0,0
"195","supermerkatuan",0,0,0,0,0,0
"196","hau",0,0,0,0,0,0
"197","bebai",0,0,0,0,0,0
"198",NA,0,0,0,0,0,0
"199",NA,0,0,0,0,0,0
"200","alkohola",0,0,0,0,0,0
"201","onartuta",0,0,0,0,0,0
"202","dago",0,1,0,0,0,0
"203","gizartean",0,0,0,0,0,0
"204","porroak",0,0,0,0,0,1
"205","nahiz eta zabalduta egon",0,0,0,1,0,1
"206","ez",0,0,0,0,0,1
"207","daude",0,1,0,1,0,1
"208","onartuta baina alkohola bai",0,0,0,0,0,1
"209","zure lagunari",0,0,0,0,0,1
"210","ikusi",1,0,0,0,0,1
"211","ba",0,0,0,1,0,1
"212","zure laguna",0,0,0,0,0,1
"213","ikusi",1,0,0,0,0,1
"214","baduzu",0,0,1,0,0,1
"215",NA,0,0,0,0,0,1
"216","kopa bat edaten",0,0,0,0,0,1
"217","ez",0,0,0,0,0,1
"218","da",0,0,1,0,0,1
"219","ezer",0,0,0,0,0,1
"220","gertatzen",1,0,0,0,0,1
"221","baina",0,0,0,0,0,1
"222","porro bat",0,0,0,0,0,1
"223","erretzen",0,0,0,0,0,1
"224","bada",0,0,1,0,0,1
"225","desberdina",0,0,0,0,0,0
"226","da",0,1,0,0,0,0
"227",NA,0,0,0,0,0,0
"228","nahiz eta biak",0,0,0,0,0,0
"229","droga",0,0,0,1,0,0
"230","izan",0,0,0,0,0,0
"231","gainera",0,0,0,0,0,0
"232","alkohola",0,0,0,0,0,0
"233",NA,0,0,0,0,0,0
"234","kultura handia",0,0,0,0,0,0
"235","dauka",0,1,0,0,0,0
"236","gizartean",0,0,0,0,0,0
"237","zu",0,0,0,1,0,0
"238","zure lagunarekin",0,0,0,0,0,0
"239","joango",1,0,0,0,0,0
"240","bazara",0,0,1,0,0,0
"241","afaltzera",0,0,0,0,0,0
"242","normalean",0,0,0,0,0,0
"243","botila bat+",0,0,0,0,0,0
"244","+ardo",0,0,0,0,0,0
"245","eramaten",1,0,0,1,0,0
"246","zuen",0,0,1,0,1,0
"247","eta",0,0,0,0,0,0
"248","gainera",0,0,0,1,0,0
"249","ondo",0,0,0,1,1,0
"250","ondo",0,0,0,0,1,0
"251","dago",0,1,0,0,0,0
"252","hori",0,0,0,0,0,0
"253","ardoa oparaitzea",0,0,0,0,0,0
"254","edo alkohola",0,0,0,0,0,0
"255",NA,0,0,0,0,0,0
"256","oparitzea",0,0,0,0,0,0
"257","gazteen",0,0,0,0,0,0
"258","gazteen artean",0,0,0,0,0,0
"259","beste gauza bat",0,0,0,1,0,0
"260","gertatzen",1,0,0,1,1,0
"261","gertatzen",1,0,0,0,0,0
"262","da",0,0,1,0,0,0
"263",NA,0,0,0,0,0,0
"264","gazteak",0,0,0,0,0,0
"265","gero eta gehiago",0,0,0,1,0,0
"266","edaten",1,0,0,0,1,0
"267","dute",0,0,1,0,0,0
"268","gazteek",0,0,0,0,0,0
"269","gero eta gehiago",0,0,0,0,0,0
"270","edaten",1,0,0,0,0,0
"271","dute",0,0,1,0,0,0
"272","baina",0,0,0,0,0,0
