"","TESTUA","AD.NG","AD.TRINKOA","AD.LAGUNTZAILEA","ZA.LUZ0","ZA.LUZ1","EZEZKOESALDIA"
"680","alokairua",0,0,0,1,0,0
"681","aurresteko edo",0,0,0,1,0,0
"682","?",0,0,0,0,0,0
"683","edo etxe bat ez erosteko",0,0,0,0,0,0
"684","hori",0,0,0,0,0,0
"685","txarra",0,0,0,0,0,0
"686","txarto",0,0,0,0,0,0
"687","iruditzen",1,0,0,0,0,0
"688","zait",0,0,1,0,0,0
"689","baina",0,0,0,1,0,1
"690","beste aldetik",0,0,0,0,0,1
"691","lantegi zahar bat edo leku publiko bat",0,0,0,1,0,1
"692",NA,0,0,0,0,0,1
"693","huts",0,0,0,0,0,1
"694","huts",0,0,0,0,0,1
"695","huts",0,0,0,0,0,1
"696","dago",0,1,0,1,0,1
"697","dagoen",0,1,0,0,0,1
"698",NA,0,0,0,0,0,1
"699","?",0,0,0,0,0,1
"700","okupatu",0,0,0,0,0,1
"701","ez",0,0,0,0,0,1
"702","zait",0,0,1,0,0,1
"703","hain",0,0,0,0,0,1
"704","oso",0,0,0,0,0,1
"705","ez",0,0,0,0,0,1
"706","zait",0,0,0,0,0,1
"707","iruditzen",1,0,0,0,0,1
"708","oso",0,0,0,0,0,1
"709","txarra",0,0,0,0,0,1
"710","adibidez",0,0,0,0,0,0
"711","kukutzea",0,0,0,1,0,0
"712","kukutzaren kasuan",0,0,0,1,0,0
"713","txarto",0,0,0,0,0,0
"714","iruditzen",1,0,0,0,0,0
"715","zait",0,0,1,0,0,0
"716","kaleratu",1,0,0,1,0,0
"717",NA,0,0,0,0,0,0
"718","zituztela",0,0,1,0,0,0
"719","urte pilo eraten+",0,0,0,1,0,0
"720","?",0,0,0,0,1,0
"721","eramaten",0,0,0,0,0,0
"722","ekintza",0,0,0,1,0,0
"723","ekintzak egiten eta",0,0,0,1,0,0
"724","ekintzak egiten",0,0,0,0,0,0
"725","gainera",0,0,0,0,0,0
"726","errespetu",0,0,0,0,0,0
"727",NA,0,0,0,0,0,0
"728","zeuzkaten",0,1,0,0,0,0
"729","errespetu",0,0,0,0,0,0
"730","zeukaten",0,1,0,0,0,0
"731",NA,0,0,0,1,0,0
"732","auzokiderekiko",0,0,0,0,0,0
"733","azkenean",0,0,0,0,0,0
"734",NA,0,0,0,0,0,0
"735","auzokideak",0,0,0,0,0,0
"736","kukutzaren parte",0,0,0,1,0,0
"737","hartzen",1,0,0,0,0,0
"738","zuten",0,0,1,0,0,0
"739","eta",0,0,0,1,0,0
"740","han",0,0,0,0,1,0
"741","ikusten",1,0,0,1,0,0
"742","da",0,0,1,0,1,0
"743","proiektu hori",0,0,0,0,0,1
"744","ez",0,0,0,0,0,1
"745","zen",0,1,0,1,0,1
"746","?",0,0,0,0,1,1
"747","txarra",0,0,0,0,0,1
"748",NA,0,0,0,1,0,1
"749","auzoentzat",0,0,0,0,0,1
"750","sestao",0,0,0,0,0,0
"751","sestaon orain",0,0,0,0,0,0
"752","proiektu bat",0,0,0,0,0,0
"753","dago",0,1,0,0,0,0
"754","kukutza",0,0,0,1,0,0
"755","bezalakoa",0,0,0,0,0,0
"756",NA,0,0,0,0,0,0
"757","xxx",0,0,0,0,0,0
"758","aatxeube bulego",0,0,0,1,0,0
"759","bulegoak",0,0,0,1,1,0
"760","okupatu",1,0,0,1,0,0
"761","zuten",0,0,1,0,1,0
"762",NA,0,0,0,0,0,0
"763",NA,0,0,0,0,0,0
"764","okupatu",1,0,0,0,0,0
"765","dute",0,0,0,0,0,0
"766","eta",0,0,0,0,0,0
"767",NA,0,0,0,0,0,0
"768","ekintzak",0,0,0,0,0,0
"769","bulegoa garbitu eta gero",0,0,0,0,0,0
"770","prestatu nahi",0,0,0,1,0,0
"771",NA,0,0,0,0,1,0
"772",NA,0,0,0,0,0,0
"773","bulegoak",0,0,0,0,0,0
"774","prestatu",0,0,0,0,0,0
"775","nahi",1,0,0,1,0,0
"776","dituzte",0,0,1,0,0,0
"777","ekintzak",0,0,0,0,0,0
"778","egiteko",0,0,0,0,0,0
"779","bai",0,0,0,1,0,0
"780",NA,0,0,0,0,0,0
"781","sestaoko bizilagunentzat bai",0,0,0,1,0,0
"782","kanpokoentzat",0,0,0,0,0,0
"783","baina",0,0,0,0,0,0
"784","zer",0,0,0,0,0,0
"785","gertatzen",1,0,0,0,0,0
"786","da",0,0,1,0,0,0
"787","udala",0,0,0,0,0,0
"788","desaolojatu",0,0,0,1,0,0
"789","nahi",1,0,0,1,1,0
"790","nahi",1,0,0,0,0,0
"791",NA,0,0,0,0,0,0
"792","nahi",1,0,0,0,0,0
"793","ditu",0,0,1,0,0,0
"794","xxx",0,0,0,0,0,0
"795","bai",0,0,0,0,0,0
"796","nahi",1,0,0,0,0,0
"797","ditu",0,0,1,0,0,0
"798","gainera",0,0,0,0,0,0
"799","bai",0,0,0,0,0,0
"800","gainera",0,0,0,0,0,0
"801","bulego horiek",0,0,0,0,0,0
"802","hogeita hamar urte edo gehiago",0,0,0,1,0,0
"803",NA,0,0,0,0,1,0
"804",NA,0,0,0,0,0,0
"805",NA,0,0,0,1,0,0
"806","daude",0,1,0,0,0,0
"807","orduan",0,0,0,0,0,1
"808","ez",0,0,0,0,0,1
"809","dut",0,0,1,1,0,1
"810","ulertzen",1,0,0,0,1,1
"811","zergatik",0,0,0,0,0,1
"812","orain justu",0,0,0,0,0,1
"813",NA,0,0,0,0,0,1
"814","sestaoko gazte batzuk",0,0,0,0,0,1
"815","okupatu",1,0,0,1,0,1
"816","dutenean",0,0,1,0,0,1
"817","desalojatzen",0,0,0,0,0,1
"818","nahi",1,0,0,1,0,1
"819","dute",0,0,1,0,1,1
"820","x",0,0,0,0,0,1
"821","dituzte",0,0,1,0,0,1
"822","barkatu",0,0,0,0,0,1
"823","gainera",0,0,0,0,0,1
"824","?",0,0,0,0,0,1
"825","gainera",0,0,0,0,0,1
"826","udala",0,0,0,0,0,1
"827","udalak",0,0,0,0,0,1
"828","ez",0,0,0,0,0,1
"829","du",0,0,1,0,0,1
"830","behar",1,0,0,0,0,1
"831","dirua",0,0,0,0,0,1
"832","ordaindu",0,0,0,0,0,1
"833","azkenean",0,0,0,0,0,0
"834","autokudeaketa",0,0,0,1,0,0
"835","egiten",1,0,0,0,1,0
"836","dute",0,0,1,1,0,0
"837","hori",0,0,0,0,0,0
"838",NA,0,0,0,1,0,0
"839",NA,0,0,0,1,0,0
"840","gazte+",0,0,0,0,0,0
"841","+koek",0,0,0,0,0,0
"842","gaztekoek",0,0,0,0,0,0
"843","beraz nire ustez",0,0,0,0,0,0
"844","erakundeak",0,0,0,0,0,0
"845","zein",0,0,0,0,0,0
"846","den",0,1,0,0,0,0
"847","kasuan",0,0,0,0,0,0
"848","baimena",0,0,0,0,0,0
"849","eman",0,0,0,0,0,0
"850","behar",1,0,0,1,0,0
"851","dute",0,0,1,0,0,0
"852","erakundeek",0,0,0,0,0,0
"853",NA,0,0,0,0,0,0
"854",NA,0,0,0,0,0,0
"855",NA,0,0,0,0,0,0
"856",NA,0,0,0,0,0,0
"857","arbasoak",0,0,0,0,0,0
"858","kobazulo",0,0,0,1,0,0
"859","bizi",1,0,0,0,1,0
"860","zirenetik",0,0,1,0,0,0
"861","gizartea",0,0,0,0,0,0
"862","jendearen ondoan",0,0,0,0,0,0
"863","egon",0,0,0,0,0,0
"864","behar",1,0,0,1,0,0
"865",NA,0,0,0,0,0,0
"866",NA,0,0,0,0,0,0
"867","jendea",0,0,0,0,0,0
"868","gizarteak",0,0,0,0,0,0
"869",NA,0,0,0,0,0,0
"870","beste pertsonarekin",0,0,0,0,0,0
"871","egon",0,0,0,0,0,0
"872","behar",1,0,0,1,0,0
"873","behar",0,0,0,0,1,0
"874","da",0,0,1,0,0,0
"875","lehen adibidez",0,0,0,0,0,0
"876","zen",0,1,0,0,0,0
"877","janaria lortzeko edo",0,0,0,1,0,0
"878","denok artean",0,0,0,0,0,0
"879","babesteko",0,0,0,0,0,0
"880","bai",0,0,0,1,0,0
"881","animali+",0,0,0,1,1,0
"882",NA,0,0,0,0,0,0
"883","zertaz da",0,0,0,0,0,0
"884","animalitaz",0,0,0,0,0,0
"885","xxetik",0,0,0,0,0,0
"886","edo+",0,0,0,1,0,0
"887","o bai beste",0,0,0,1,1,0
"888","besteaea",0,0,0,1,0,0
"889","arriskuetik",0,0,0,1,0,0
"890","eta hori",0,0,0,0,0,0
"891",NA,0,0,0,1,0,0
"892","sortu",1,0,0,1,0,0
"893","da",0,0,1,0,1,0
"894","gure genean",0,0,0,1,0,0
"895","geratu",0,0,0,1,0,0
"896","gure genea",0,0,0,1,0,0
"897","geratu",1,0,0,0,1,0
"898","da",0,0,1,1,0,0
"899","pertsona artean",0,0,0,0,0,0
"900","egon",0,0,0,0,0,0
"901","beharko",1,0,0,0,0,0
"902","dugu",0,0,1,0,0,0
"903","horregatik",0,0,0,0,0,0
"904","guk",0,0,0,0,0,0
"905","behar",1,0,0,0,0,0
"906","dugu",0,0,1,1,0,0
"907","lagunak edukitzea",0,0,0,1,1,0
"908","senideak eta pertsonaren +",0,0,0,0,0,0
"909",NA,0,0,0,0,0,0
"910","bai pertsonaren inguruan egotea",0,0,0,0,0,0
"911","hor bai",0,0,0,0,0,0
"912","hori",0,0,0,0,0,0
"913","da",0,1,0,0,0,0
"914","beraz",0,0,0,0,0,0
"915","lagunak",0,0,0,0,0,0
"916","oso garrantzitsuak",0,0,0,0,0,0
"917","dira",0,1,0,0,0,0
"918",NA,0,0,0,0,0,0
"919","adibidez",0,0,0,0,0,0
"920","lagunarekin jolasten ikasten eta",0,0,0,1,0,0
"921","harremanak",0,0,0,0,1,0
"922","edukitzen",1,0,0,0,0,0
"923","dute",0,0,1,0,0,0
"924","hazteko",0,0,0,0,0,0
"925","hori",0,0,0,0,0,0
"926","oso garrantzitsua",0,0,0,0,0,0
"927","da",0,1,0,0,0,0
"928","bere",0,0,0,1,0,0
"929","bere",0,0,0,0,0,0
"930",NA,0,0,0,0,0,0
"931",NA,0,0,0,0,0,0
"932",NA,0,0,0,0,0,0
"933","bai ez",0,0,0,0,0,0
"934","bere heziketan",0,0,0,0,0,0
"935","gero",0,0,0,0,0,0
"936",NA,0,0,0,1,0,0
"937","desberdinak",0,0,0,1,0,0
"938","batzuk",0,0,0,0,0,0
"939","daude",0,1,0,0,0,0
"940","lagunak artean",0,0,0,0,0,0
"941","batzuk",0,0,0,0,0,0
"942","dira",0,1,0,0,0,0
"943","azalekoak",0,0,0,0,0,0
"944","ta",0,0,0,0,0,0
"945","beste batzuk",0,0,0,0,0,0
"946","dira",0,1,0,0,0,0
"947","minakoak",0,0,0,0,0,0
"948","benetako lagunak",0,0,0,1,0,0
"949","eta",0,0,0,1,0,0
"950","denok",0,0,0,0,0,0
"951","?",0,0,0,0,0,0
"952","eduki",0,0,0,1,0,0
"953","behar",1,0,0,0,1,0
"954","dugu",0,0,1,1,0,0
"955","mota guztietakoak",0,0,0,0,0,0
"956","hau da",0,0,0,0,0,0
"957","lagun benetako",0,0,0,0,0,0
"958","oso garrantzitsuak",0,0,0,0,0,0
"959","dira",0,1,0,0,0,0
"960","arazoren bat",0,0,0,0,0,0
"961","edo",0,0,0,1,0,0
"962","ez bakarrik arazoen",0,0,0,0,0,0
"963","baizik eta pozik",0,0,0,0,0,0
"964",NA,0,0,0,0,0,0
"965","poztasun zoriontsu bat ere",0,0,0,0,0,0
"966","konta",0,0,0,1,0,0
"967","dezakegu",0,0,0,0,1,0
"968","eta berarekin",0,0,0,0,0,0
"969","harreman+",0,0,0,1,0,0
"970","+ estua",0,0,0,0,0,0
"971","daukagu",0,1,0,0,0,0
"972","baina",0,0,0,0,0,0
"973","be bai",0,0,0,0,0,0
"974","behar",1,0,0,0,0,0
"975","dugu",0,0,1,0,0,0
"976","azaleko lagunak",0,0,0,0,0,0
"977","egun batean",0,0,0,0,0,0
"978","parrandaz irteteko",0,0,0,1,0,0
"979","edo beste gauzak",0,0,0,1,1,0
"980","ez hain garrantzitsuak egiteko",0,0,0,0,0,0
"981","eta",0,0,0,1,0,0
"982","berdin",0,0,0,0,1,0
"983","berdin",0,0,0,0,0,0
"984","berdin",0,0,0,0,0,0
"985","da",0,1,0,0,0,0
"986","?",0,0,0,0,0,0
"987","zure lagun onena edo benetako laguna",0,0,0,1,0,0
"988","zeintzezu",0,0,0,1,0,0
"989",NA,0,0,0,1,0,0
"990",NA,0,0,0,0,0,0
"991","daukala",0,1,0,0,0,0
"992","nik",0,0,0,0,0,1
"993","adibidez",0,0,0,0,0,1
"994","ez",0,0,0,0,0,1
"995","dakit",0,1,0,0,0,1
"996","zergatik",0,0,0,0,0,1
"997","nire +",0,0,0,1,0,1
"998",NA,0,0,0,0,1,0
"999",NA,0,0,0,0,0,0
"1000","+ lagun mina",0,0,0,0,0,0
"1001","neska bat",0,0,0,0,0,0
"1002","da",0,1,0,0,0,0
"1003","eta",0,0,0,1,0,0
"1004","normalean",0,0,0,0,1,0
"1005",NA,0,0,0,0,0,0
"1006","neskarekin hobeto",0,0,0,0,0,0
"1007","konpontzen",1,0,0,1,0,0
"1008","naiz",0,0,1,0,1,0
"1009","hala ere",0,0,0,0,0,0
"1010","?",0,0,0,0,0,0
"1011","kuadrilako +",0,0,0,0,0,0
"1012","+ denak",0,0,0,0,0,0
"1013",NA,0,0,0,0,0,0
"1014","x",0,0,0,0,0,0
"1015","dira",0,1,0,0,0,0
"1016","baina beno",0,0,0,0,0,0
"1017","gero",0,0,0,0,0,0
"1018","bakoitza",0,0,0,0,0,0
"1019","aukeratzen",1,0,0,0,0,0
"1020","du",0,0,1,1,0,0
"1021","dugu",0,0,1,0,0,0
"1022",NA,0,0,0,0,0,0
"1023","bakoitzak",0,0,0,0,0,0
"1024","aukeratzen",1,0,0,1,0,0
"1025","bakoitzak",0,0,0,0,0,0
"1026",NA,0,0,0,0,0,0
"1027",NA,0,0,0,0,0,0
"1028","aukeratzen",1,0,0,1,0,0
"1029","du",0,0,1,1,1,0
"1030","bere laguna",0,0,0,0,0,0
"1031","gaur egun teknologiari esker",0,0,0,1,0,0
"1032","lagunarekin",0,0,0,0,0,0
"1033","harremanak",0,0,0,0,0,0
"1034","hurbil",1,0,0,1,0,0
"1035","hurbildu",1,0,0,0,0,0
"1036","hurbil",1,0,0,0,0,0
"1037","dezakegu",0,0,1,0,0,0
"1038","bai",0,0,0,1,0,1
"1039",NA,0,0,0,0,1,1
"1040","telefono bidez",0,0,0,0,0,1
"1041","bai meila+",0,0,0,1,0,1
"1042","+meilen bidez",0,0,0,0,0,1
"1043","edo",0,0,0,1,0,1
"1044","ez",0,0,0,0,1,1
"1045","dakit",0,1,0,0,0,1
"1046","zetako",0,0,0,1,0,1
"1047",NA,0,0,0,0,0,1
"1048","komunikabideekin",0,0,0,0,0,1
"1049","hitzegin",1,0,0,0,0,0
"1050","dezakegu",0,0,1,0,0,0
"1051","eta",0,0,0,1,0,0
"1052","jakin",1,0,0,0,1,0
"1053","dezakegu",0,0,1,0,0,0
"1054","nola",0,0,0,1,0,0
"1055","nola",0,0,0,0,1,0
"1056",NA,0,0,0,1,0,0
"1057","nola",0,0,0,0,0,0
"1058","dagoen",0,1,0,0,0,0
"1059","dauden",0,1,0,0,0,0
"1060","eta",0,0,0,1,0,0
"1061","eta abar",0,0,0,0,1,0
"1062","baina",0,0,0,0,0,0
"1063","hori",0,0,0,0,0,0
"1064","be bai",0,0,0,0,0,0
"1065","alferragoak",0,0,0,0,0,0
"1066","biurtzen",1,0,0,1,0,0
"1067",NA,0,0,0,0,1,0
"1068","alferrago",0,0,0,0,0,0
"1069","?",0,0,0,0,0,0
"1070",NA,0,0,0,0,0,0
"1071","bihurtzen",1,0,0,1,0,0
"1072","x",0,0,0,0,0,0
"1073","alper",0,0,0,0,0,0
"1074","alper mugagabe",0,0,0,0,0,0
"1075","alper",0,0,0,0,0,0
"1076","bihurtzen",1,0,0,1,0,0
"1077","gara",0,0,1,0,0,0
"1078","horregatik nire ustez",0,0,0,0,0,0
"1079","oso garrantzitsua",0,0,0,0,0,0
"1080","da",0,1,0,0,0,0
"1081","lagunak",0,0,0,0,0,0
"1082",NA,0,0,0,0,0,0
"1083","mantentzea",0,0,0,0,0,0
"1084","zaintzea",0,0,0,0,0,0
"1085",NA,0,0,0,0,0,0
"1086","lagunak",0,0,0,0,0,0
"1087","lagunei",0,0,0,0,0,0
"1088","denbora",0,0,0,0,0,0
"1089","eman",0,0,0,0,0,0
"1090","behar",1,0,0,1,0,0
"1091",NA,0,0,0,0,1,0
"1092","diegu",0,0,1,0,0,0
"1093","jakiteko nola",0,0,0,1,0,0
"1094",NA,0,0,0,1,1,0
"1095","dauden",0,1,0,1,1,0
"1096","zer arazo",0,0,0,1,0,0
"1097",NA,0,0,0,0,0,0
"1098","zer arazo",0,0,0,0,0,0
"1099",NA,0,0,0,0,0,0
"1100",NA,0,0,0,0,0,0
"1101","daukate",0,1,0,0,0,0
"1102","eta",0,0,0,1,0,0
"1103","eta hori",0,0,0,0,0,0
"1104",NA,0,0,0,0,0,0
"1105","nire entzumena",0,0,0,1,0,0
"1106","hitzeginten",1,0,0,0,1,0
"1107","dute",0,0,1,0,0,0
"1108","margarina edo gurina",0,0,0,0,0,0
"1109","zer",0,0,0,0,0,0
"1110","da",0,1,0,0,0,0
"1111","hobea",0,0,0,0,0,0
"1112","orain",0,0,0,0,0,0
"1113","esaten",0,0,0,1,0,0
"1114","ari",1,0,0,0,1,0
"1115","dira",0,0,1,0,0,0
"1116","margarina",0,0,0,0,0,0
"1117","txarragoa",0,0,0,0,0,0
"1118","da",0,1,0,0,0,0
"1119","txarragoa",0,0,0,0,0,0
"1120","dela",0,1,0,0,0,0
"1121",NA,0,0,0,0,0,0
"1122","nahiz eta biak koipe saturatuak",0,0,0,1,0,0
"1123","izan",0,0,0,0,0,0
"1124",NA,0,0,0,0,0,0
"1125","margarina",0,0,0,0,0,0
"1126","kaltegarriagoa",0,0,0,0,0,0
"1127","da",0,1,0,0,0,0
"1128","koipe trans",0,0,0,1,0,0
"1129","daukatelako",0,1,0,0,1,0
"1130",NA,0,0,0,0,0,0
"1131","landaretik",0,0,0,1,0,0
"1132","etorri",1,0,0,0,1,0
"1133","diren",0,0,1,0,0,0
"1134","koipeak",0,0,0,0,0,0
"1135","onak",0,0,0,0,0,0
"1136","dira",0,1,0,0,0,0
"1137","baina",0,0,0,1,0,0
"1138",NA,0,0,0,0,0,0
"1139","bata",0,0,0,0,0,0
"1140","transgenikoak",0,0,0,1,0,0
"1141","direnez",0,1,0,0,1,0
"1142","hidrogeno loturak",0,0,0,0,0,0
"1143","desberdinak",0,0,0,1,0,0
"1144","dira",0,1,0,0,1,0
"1145","eta",0,0,0,1,0,0
"1146","horregatik",0,0,0,0,1,0
"1147","agertzen",1,0,0,0,0,0
"1148","dira",0,0,1,0,0,0
"1149","koipe+",0,0,0,1,0,0
"1150",NA,0,0,0,0,1,0
"1151","edo",0,0,0,1,0,0
"1152",NA,0,0,0,0,1,0
"1153","bai",0,0,0,0,0,0
"1154","koipe transgenikoak",0,0,0,1,0,0
"1155","koipe",0,0,0,1,0,0
"1156","koipe hori",0,0,0,0,1,0
"1157","koipe hori",0,0,0,0,0,0
"1158","kolesterol txarra",0,0,0,0,0,0
"1159","altxatzen",1,0,0,1,0,0
"1160","altxatzen",1,0,0,0,1,0
"1161","da",0,0,1,0,0,0
"1162","bestea",0,0,0,0,0,0
"1163","adibidez",0,0,0,0,0,0
"1164","oreka",0,0,0,0,0,0
"1165","dauka",0,1,0,0,0,0
"1166","bai koipe",0,0,0,1,0,0
"1167","ona",0,0,0,0,0,0
"1168","eta bai",0,0,0,1,0,0
"1169","txarra",0,0,0,0,0,0
"1170","baina",0,0,0,1,0,0
"1171","orekatuta",0,0,0,1,1,0
"1172","dago",0,1,0,0,1,0
"1173","eta",0,0,0,1,0,0
"1174","bueno",0,0,0,0,1,0
"1175","koipe trans",0,0,0,1,0,0
"1176","trans horiek",0,0,0,0,1,0
"1177","txarrak",0,0,0,0,0,0
"1178","dira",0,1,0,0,0,0
"1179",NA,0,0,0,1,0,0
"1180","bihotzerako",0,0,0,0,1,0
"1181","ta zergatik",0,0,0,0,0,0
"1182","erabiltzen",1,0,0,1,0,0
"1183","dituzte",0,0,1,0,1,0
"1184","koipe horiek",0,0,0,0,0,0
"1185","denbora",0,0,0,0,0,0
"1186",NA,0,0,0,1,0,0
"1187",NA,0,0,0,1,0,0
"1188","luzeago mantentzeko",0,0,0,0,0,0
"1189","koipea",0,0,0,0,0,0
"1190","momentu honetan margarina",0,0,0,0,0,0
"1191","eta itxura",0,0,0,1,0,0
"1192","itxura berdina izateko",0,0,0,1,1,0
"1193","estatu batuetan",0,0,0,0,0,0
"1194","gertatu",0,0,0,1,0,0
"1195","gertatu",0,0,0,0,1,0
"1196","ari",1,0,0,0,0,0
"1197","dena",0,0,1,0,0,0
"1198","da",0,1,0,0,0,0
"1199",NA,0,0,0,0,0,0
"1200","ah",0,0,0,0,0,0
"1201","kanpaina",0,0,0,1,0,0
"1202","kanpainaren",0,0,0,0,1,0
"1203",NA,0,0,0,0,0,0
"1204","margarinaren kanpaina bat",0,0,0,0,0,0
"1205","egiten",0,0,0,0,0,0
"1206","ari+",1,0,0,0,0,0
"1207","kontra",0,0,0,0,0,0
"1208","egiten",0,0,0,0,0,0
"1209","ari",1,0,0,0,0,0
"1210","da",0,0,1,0,0,0
"1211","alde batetik",0,0,0,0,0,0
"1212","arautu",0,0,0,1,0,0
"1213","nahi",1,0,0,1,1,0
"1214","dutelako",0,0,1,1,1,0
"1215","eta",0,0,0,1,0,0
"1216","beste+",0,0,0,0,1,0
"1217","eta arau horretan",0,0,0,0,0,0
"1218","etiketan",0,0,0,0,0,0
"1219","jarri",0,0,0,0,0,0
"1220","behar",0,0,0,1,0,0
"1221","zehatz mehatz",0,0,0,0,0,0
"1222","jarri",0,0,0,0,0,0
"1223",NA,0,0,0,0,0,0
"1224","nahi",1,0,0,0,0,0
"1225","dute",0,0,1,0,0,0
"1226","konsumidoreak",0,0,0,0,0,0
"1227","jakiteko",0,0,0,1,0,0
"1228","zer erosten",0,0,0,0,1,0
"1229","ari",1,0,0,1,0,0
"1230","diren",0,0,1,0,1,0
"1231","hori",0,0,0,0,0,0
"1232","gertatu",1,0,0,0,0,0
"1233","da",0,0,1,0,0,0
"1234",NA,0,0,0,1,0,0
"1235","denbora",0,0,0,0,0,0
"1236",NA,0,0,0,1,0,0
"1237","luze",0,0,0,1,1,0
"1238","luzean",0,0,0,0,0,0
"1239","erabiltzen",1,0,0,0,0,0
"1240","dute",0,0,1,1,0,0
"1241","jaten",1,0,0,0,0,0
"1242","dute",0,0,1,1,0,0
"1243","produktu",0,0,0,0,0,0
"1244",NA,0,0,0,0,0,0
"1245",NA,0,0,0,0,0,0
"1246","hauek",0,0,0,0,0,0
"1247","eta",0,0,0,1,0,0
"1248",NA,0,0,0,0,1,0
"1249","ikusten",0,0,0,0,0,0
"1250","ari",1,0,0,0,0,0
"1251","dira",0,0,1,0,0,0
"1252","kaltegarriak",0,0,0,1,0,0
"1253","direla",0,1,0,0,1,0
"1254",NA,0,0,0,0,0,0
"1255",NA,0,0,0,0,0,0
"1256","gazteen inkomunikazioari buruz",0,0,0,1,0,0
"1257","hitz egingo",1,0,0,0,1,0
"1258","dut",0,0,1,0,0,0
"1259","gazteen komunikazioia",0,0,0,0,0,0
"1260","asko",0,0,0,0,0,0
"1261","aldatu",1,0,0,0,0,0
"1262","da",0,0,1,0,0,0
"1263","lehen adibidez",0,0,0,0,0,0
"1264","aurre",0,0,0,1,0,0
"1265","aurrez aurre",0,0,0,0,0,0
"1266","egiten",1,0,0,0,0,0
"1267","zuen",0,0,1,0,0,0
"1268","edo",0,0,0,0,0,0
"1269","mantentzen",1,0,0,0,0,0
"1270","zuen",0,0,1,0,0,0
"1271","harremanak",0,0,0,0,0,0
"1272",NA,0,0,0,0,0,0
"1273","ni",0,0,0,0,0,0
"1274","nik",0,0,0,0,0,0
"1275","adibidez",0,0,0,0,0,0
"1276","beti",0,0,0,1,0,0
"1277","egin",1,0,0,0,0,0
"1278","dut",0,0,1,0,0,0
"1279",NA,0,0,0,0,0,0
"1280","egin",1,0,0,0,0,0
"1281","dut",0,0,1,0,0,0
"1282","jokuak",0,0,0,0,0,0
"1283","kalean",0,0,0,0,0,0
"1284","orain",0,0,0,1,0,0
"1285","orain",0,0,0,0,0,0
"1286",NA,0,0,0,0,0,0
"1287","oso desberdina",0,0,0,0,0,0
"1288","da",0,1,0,0,0,0
"1289","gainera",0,0,0,0,0,0
"1290","nire ustez",0,0,0,0,0,0
"1291","harremanak",0,0,0,0,0,0
"1292","estuagoak",0,0,0,0,0,0
"1293","ziren",0,1,0,0,0,0
"1294","beti elkarrekin",0,0,0,0,0,0
"1295",NA,0,0,0,0,0,0
"1296","geundelako",0,1,0,1,0,0
"1297","orain",0,0,0,0,0,0
"1298","izugarria",0,0,0,0,0,0
"1299","iruditzen",1,0,0,0,0,0
"1300","zait",0,0,1,0,0,0
"1301","nola",0,0,0,0,0,0
"1302","komunikatzen",1,0,0,0,0,0
"1303",NA,0,0,0,0,0,0
"1304","duten",0,0,1,0,0,0
"1305","haurrek",0,0,0,0,0,0
"1306","gehienak",0,0,0,0,0,0
"1307","etxetik",0,0,0,1,0,0
"1308","etxetik",0,0,0,0,0,0
"1309","mantentzen",1,0,0,0,0,0
"1310","dituzte",0,0,1,1,0,0
"1311","haien harremanak",0,0,0,0,0,0
"1312","harremanak eta jokuak",0,0,0,0,0,0
"1313","egiten",1,0,0,0,0,0
"1314","dituzte",0,0,1,0,0,0
"1315","etxetik",0,0,0,0,0,0
"1316","hori",0,0,0,0,0,0
"1317","nire ustez",0,0,0,0,0,0
"1318","apur bat",0,0,0,0,0,0
"1319","txarra",0,0,0,0,0,0
"1320","da",0,1,0,0,0,0
"1321",NA,0,0,0,0,0,1
"1322","umeak",0,0,0,0,0,1
"1323","horrela",0,0,0,1,0,1
"1324","ezin",0,0,0,0,1,1
"1325","dira",0,0,1,1,0,1
"1326","garatu",1,0,0,0,1,1
"1327","lehen bezala",0,0,0,0,0,1
"1328",NA,0,0,0,0,0,1
"1329","ezin",0,0,0,0,0,1
"1330","direlako",0,0,1,0,0,1
"1331","garatu",1,0,0,0,0,1
"1332","lehen bezala",0,0,0,0,0,1
"1333","gainera",0,0,0,0,0,0
"1334",NA,0,0,0,0,0,0
"1335","gurasoentzat",0,0,0,0,0,0
"1336","arazo berri bat",0,0,0,0,0,0
"1337","sortu",1,0,0,1,0,0
"1338","sortu",1,0,0,0,1,0
"1339","da",0,0,1,0,0,0
"1340","alde batetik",0,0,0,0,0,1
"1341","gurasoek",0,0,0,0,0,1
"1342","umeek",0,0,0,0,0,1
"1343","baino gutxiago",0,0,0,1,0,1
"1344","dakite",0,1,0,0,1,1
"1345","informatikari buruz",0,0,0,0,0,1
"1346",NA,0,0,0,0,0,1
"1347","orduan",0,0,0,0,0,1
"1348","ez",0,0,0,0,0,1
"1349","dakite",0,1,0,0,0,1
"1350","zer",0,0,0,1,0,1
"1351","egiten",1,0,0,1,1,1
"1352","dute",0,0,1,0,1,1
"1353",NA,0,0,0,0,0,1
"1354","zer",0,0,0,0,0,1
"1355","egiten",1,0,0,0,0,1
"1356","duten",0,0,1,0,0,1
"1357","eta",0,0,0,1,0,1
"1358",NA,0,0,0,0,1,1
"1359","norekin",0,0,0,0,0,1
"1360","hitz egiten",1,0,0,0,0,1
"1361","duten",0,0,1,0,0,1
"1362","gainera",0,0,0,0,0,0
"1363",NA,0,0,0,0,0,0
"1364","bestetik",0,0,0,0,0,0
